,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
0,['https://localhost'],University of Nottingham,['GB-ENG'],SAIL Databank,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
1,['https://saildatabank.com/application-process/'],SAIL Databank,['GB-GB'],National Services Scotland,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
2,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Public Health Scotland,['GB'],Not Applicable,"An indicative cost will be provided to applicants upon application. Charges will be basedon workload associated with the application and will be charged following sharing of the data. They will include a standard £350 + VAT admin fee to cover consultation andprocessing of the application, plus a £350 + VAT per day of analyst time– chargeable inhalf day increments. These costs are limited to RCPCH activitiy in the administation and preparation of requested data. HQIP will also charge according to their costing model.",2-6 MONTHS,"Applications to access data are made through our bespoke access management system (https://bbams.ndph.ox.ac.uk/ams/). 

Data access is either via data download (phenotype and genotype data) or via our Research Analysis Platform (phenotype, imaging, genotype, WES, WGS, omics). Our RAP is enabled by DNANexus and hosted by Amazon Web Services (https://www.ukbiobank.ac.uk/enable-your-research/research-analysis-platform). 

Access costs depend on what data access is required."
3,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-datahttps://www.rcpch.ac.uk/sites/default/files/2018-05/npda_data_access_may2018v2_0.pdf', '']",University of Leicester,GB-GBN,Not Applicable,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,Not Applicable
4,Please contact the publisher using Contact Point details provided.,Newcastle University,GB-ENG,UK Biobank,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The transfer of samples and/or data will be subject to material and data transfer agreements between the recipient and each of the institutions participating in COVID-19 HCW Bioresource. Data sharing will be linked by COVID-19 HCW Bioresource unique identification number only and restricted to specific data fields required to undertake each approved pre-specified analysis. Data will be transferred by the provider to the recipient in an encrypted electronic format. The recipient will be mandated to have undertaken up to date information governance training and to use the data in accordance with GDPR principles. The recipient will ensure that the data are stored in a password protected encrypted format; are protected by up to date anti-virus and anti-malware software; are used solely to undertake the pre-specified analysis and will not be forwarded to a third party.

The use of all samples and data will be limited to the approved application for access and stipulated in the material and data transfer agreements between participating sites and investigators requesting access. Return of residual samples will be a condition of the material transfer agreements. All studies using COVID-19 HCW Bioresource will be required to submit annual reports to the Executive Committee and all the raw data obtained from access to COVID-19 HCW Bioresource samples must be deposited within the COVID-19 HCW Bioresource database."
5,Please contact the publisher using Contact Point details provided,University of Bath,GB-ENG,Not Applicable,['https://www.ukbiobank.ac.uk/enable-your-research/costs'],1-2 MONTHS,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
6,['https://www.bath.ac.uk/research-centres/centre-for-pain-research-cpr/'],UK Biobank,['GB-ENG'],RESPIRE,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access in a Trustworthy Research Environment (TRE) at AIMES secure data centre (https://aimes.uk/)."
7,['https://www.ukbiobank.ac.uk/enable-your-research/apply-for-access'],University of Cambridge,['GB-ENG'],"Crown Informatics Limited (patient identifiable information)
Royal College of Physicians (RCP), NACAP team (service level aggregated data only)
Imperial College London (service level aggregated dat only)","['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
8,Please contact the publisher using Contact Point details provided,RESPIRE,GB-ENG,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['Not Applicable'],OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
9,In Progress,Healthcare Quality Improvement Partnership jointly with NHS England,GB-ENG,NHS BRENT CCG,In Progress,VARIABLE,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
