,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
0,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],0 - 6 MONTHS,COVID-19
1,https://www.geonames.org/2634895/,0-150,['NOT AVAILABLE'],OTHER,Secondary care data only
2,https://www.geonames.org/2638360/scotland.html,4-19,['NOT AVAILABLE'],CONTINUOUS,"UK Biobank is a volunteer based cohort. As such, there is a healthy volunteer effect that results in participants tending to be of higher socioeconomic status, remaining in education longer, slimmer, less smokers (although those that smoke tend to be heavier smokers) and lower consumers of alcohol than the general population. A comparison between UK Biobank participants and the general UK population has been published (https://doi.org/10.1093/aje/kwx246).

Whilst selection biases are seen in UK Biobank, there is still substantial heterogeneity within the cohort. Whilst incidence and prevalence calculations are not generalisable to the UK population, exposure-outcome comparisons should be due to the heterogeneity in the cohort. However, it is important that researchers consider the potential biases of a data set that might limit generalisability of their results (as is the case for all observational data)."
3,England and Wales,Not Known,"['SALIVA', 'TISSUE', 'WHOLE BLOOD']",0 - 6 MONTHS,"All people 16 years of age and above who have been admitted to hospital (adult ward) with a primary diagnosis of an asthma attack and coded with the following ICD-10 codes in the primary position of the first episode of care:

• J45.0 - Predominantly allergic asthma
• J45.9 - Asthma, unspecified
• J46.X - Status asthmaticus (Includes: Acute severe asthma)"
4,England,0-4,"['CDNA/MRNA', 'TISSUE']",1 - 10 YEARS,"This dataset covers the COVID admissions in hospitals, each patient is identified using a unique patient key which can be used to link with other datasets to understand the patient pathway"
5,England,18-75,"['SERUM', 'PLASMA', 'WHOLE BLOOD', 'SALIVA', 'URINE']",OTHER,Secondary care
6,['https://www.geonames.org/6252001/united-states.html'],40-69,"['DNA', 'PLASMA', 'SERUM', 'TISSUE']",> 10 YEARS,Covid-19 specific
7,['United Kingdom'],40-150,['NOT AVAILABLE'],1 - 10 YEARS,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data.  A matched non-COVID control population can be generated upon request."
8,England,>18,['NOT AVAILABLE'],OTHER,COVID-19
9,India,16-100,['NOT AVAILABLE'],OTHER,All pathways pertaining to cancer
10,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",18-85,['SERUM'],OTHER,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data. Data includes those with and without COPD admitted during the first wave of the COVID pandemic."
11,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],18-65,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
12,London,0-150,"['DNA', 'PLASMA', 'SERUM']",0 - 6 MONTHS,Not Applicable. Careers dataset.
13,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,18-85,['NOT AVAILABLE'],UNKNOWN,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
14,['https://www.geonames.org/2635167/united-kingdom.html'],60-74,['NOT AVAILABLE'],0 - 6 MONTHS,"The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic, socio-economic mix. There is a higher than average percentage of minority ethnic groups with Birmingham having a population which is >40% non-white. Birmingham is one of the youngest cities in Europe and has a birth rate that is higher than average (The General Fertility Rate was 69.7 births per thousand population and the Total Fertility Rate was 2.04 children per woman in 2016, both higher than the average for the UK).  Unfortunately Birmingham also has a higher than average infant mortality rate and a higher than average incidence of maternal complications.  There is social deprivation and Birmingham’s population suffers with particularly high rates of physical inactivity, obesity, smoking & diabetes.  There are also high levels of rare diseases, especially immunometabolic conditions.   The patients included in this dataset are representative of this diverse population and also include a wide age-range.    University Hospitals Birmingham NHS Foundation Trust (UHB) is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & 100 ITU beds. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.   This dataset includes the patient journey from admission to hospital to outcome for pregnant and post-partum patients admitted to a general hospital. The data includes granular demography and co-morbidity, presenting symptoms and diagnoses, serial physiology and blood biomarkers, all investigations, all prescribed and administered treatments and outcomes.   It can be supplemented with preceding and following health care contacts, to understand the risk for the acute admission during pregnancy and the subsequent impact on health after discharge. Although primarily secondary care, this dataset can be supplemented with ambulance and primary care data on request.  PIONEER can also offer synthetic data, images and access to a secure Trusted Research Environment for analytics and AI.   PIONEER can assist with analytics, model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services."
15,Wales,0-150,['IN PROGRESS'],OTHER,"The NICOR datasets focus primarily on secondary care and therefore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g., General Practice Extraction Services (GPES) to give a better understanding of care pathways and how disease and treatments are managed over time."
16,Wales,15-150,"['DNA', 'PLASMA', 'SERUM', 'WHOLE BLOOD']",OTHER,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
17,England,0-150,['NOT AVAILABLE'],UNKNOWN,"Human tissue samples collected from patients who attend routine diagnostic procedures at commercial laboratories and hospitals, especially for COVID related tests"
18,Scotland,0-100,['NOT AVAILABLE'],UNKNOWN,All pathways at primary and secondary tiers of care
19,"West Midlands Region, UK",30-89,['NOT AVAILABLE'],UNKNOWN,All pathways at primary and secondary tiers of care.
20,England,0-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
21,https://www.geonames.org/2634895/,0-150,['NOT AVAILABLE'],UNKNOWN,Secondary care
22,['https://www.geonames.org/2634895/wales.html'],18-108,['NOT AVAILABLE'],UNKNOWN,All pathways about patients living in Wales
23,West Midlands,50-70,['Not Available'],> 10 YEARS,All pathways at this point of care
24,['https://www.geonames.org/2634895/wales.html'],16-150,['NOT AVAILABLE'],OTHER,Secondary care
25,Wales,18-150,['NOT AVAILABLE'],OTHER,Secondary care (plans to include primary and community care)
26,['https://www.geonames.org/1733045/malaysia.html'],0-150,['NOT AVAILABLE'],OTHER,Cancer
27,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
28,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,GP data: Primary electronic health records only
29,['https://www.geonames.org/2636157/tayside-region.html'],10-55,"['SERUM', 'TISSUE']",OTHER,"The NICOR datasets focus primarily on secondary care and therfore do not cover the whole patient pathway. The audit data may be linked with other primary cars datasets e.g, General Practice Extraction Services (GPES) to give a better undestanding of care pathways and how disease and treatments are manged over time."
30,"West Midlands Region, UK",18-150,['NOT AVAILABLE'],OTHER,dementia care in general hospitals
31,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",40-150,['NOT AVAILABLE'],OTHER,COVID-19
32,England,0-150,['NOT AVAILABLE'],1 - 10 YEARS,All pathways about emergency services and NHS 111 responses.
33,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,['NOT AVAILABLE'],UNKNOWN,Cancer registration data are collected from a range of health care provider systems and other services.
34,['https://www.geonames.org/1168579/islamic-republic-of-pakistan.html'],79-92,['NOT AVAILABLE'],6 - 12 MONTHS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
35,['http://www.geonames.org/2638360/scotland.html'],0-150,['TISSUE'],OTHER,Relates to virus sequencing for COVID-19 only
36,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,Single specialty - occupational therapy services in secondary care and community services
37,https://www.geonames.org/2634895/wales.html,0-150,['NOT AVAILABLE'],UNKNOWN,Secondary care records for Tayside and Fife
38,England & Wales,0-115,['NOT AVAILABLE'],UNKNOWN,"Scope: All people undergoing cataract surgery from Dec 2004 onwards. Secondary care hospital visual outcome data including 
• Demographic information (including age, sex and ethnicity)
• Preoperative Visual acuity
• Biometry details (including axial length and keratometry values)
• Surgery details
• Post-operative outcomes (including complications)"
39,['https://www.geonames.org/6269131/england.html'],11-13,"['PLASMA', 'SERUM', 'TISSUE']",UNKNOWN,Structure and resource of CYP asthma services December 2019 - February 2020.
40,['https://www.geonames.org/2643743/london.html'],40-150,['NOT AVAILABLE'],OTHER,All pathways about prescribed adult physical activity
41,England,0-150,['NOT AVAILABLE'],UNKNOWN,Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include even more granular hospital data.
42,['https://www.geonames.org/2634895/wales.html'],0-150,"['DNA', 'PLASMA', 'SERUM']",OTHER,Linked datasets cover secondary care.
43,['https://www.geonames.org/2634895/wales.html'],>18,['IN PROGRESS'],OTHER,"Secondary care, ICU"
44,India,15-150,['TISSUE'],OTHER,Single specialty - physiotherapy
45,England,0-150,"['PLASMA', 'SERUM', 'TISSUE', 'URINE']",6 - 12 MONTHS,Cancer
46,Scotland,0-150,['NOT AVAILABLE'],UNKNOWN,ALL demographic records for Tayside and Fife
47,['https://www.geonames.org/2634895/wales.html'],18-85,['NOT AVAILABLE'],1 - 10 YEARS,Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include even more granular  hospital data.
48,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,Primary care
49,England,0-150,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
50,England,40-150,['IN PROGRESS'],UNKNOWN,Linked datasets cover secondary care.
51,England,0-150,['NOT AVAILABLE'],OTHER,Covid-19 specific deaths
52,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-150,['NOT AVAILABLE'],0 - 6 MONTHS,Single centre study
53,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,0-150,['PLASMA'],0 - 6 MONTHS,"Dataset is representative of the patient pathway for community screening and grading. It covers standard UK PHE Diabetic Eye Screening requirements and will include patients receiving screening through the standard model, routine diabetic screening, surveillance and slit lamp"
54,England,18-110,['NOT AVAILABLE'],> 10 YEARS,NOT APPLICABLE
55,['https://www.geonames.org/2634343/west-midlands.html'],15-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
56,England,65-110,['NOT AVAILABLE'],OTHER,All critical care pathways
57,https://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],6 - 12 MONTHS,Critical Care settings in England
58,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",15-150,['NOT AVAILABLE'],OTHER,"The dataset includes all adults and children in the UK who are on kidney replacement therapy (KRT - kidney transplant or dialysis). The UK Renal Registry (UKRR) only collects data on adults with chronic kidney disease (CKD) who are under the care of hospital renal centres in the UK, i.e. the UKRR does not collect data on those with CKD in primary care. Those with CKD who are not on KRT generally only come under the care of renal centres once they have reached advanced CKD, i.e. stages 4 and 5. The UKRR collects data on all adults with an acute kidney injury (AKI) who receive dialysis at a hospital renal centre. The UKRR does not collect data on patients who receive dialysis in other settings for an AKI, e.g. in critical or intensive care."
59,England,46-99,['NOT AVAILABLE'],UNKNOWN,Urgent and Emergency Care
60,['https://www.geonames.org/6269131/england.html'],17-100,['NOT AVAILABLE'],0 - 6 MONTHS,Covid-19 specific
61,['https://saildatabank.com/about-us/overview/'],0-120,"['DNA', 'PLASMA', 'SERUM']",OTHER,"The dataset is representative of the entire medical specialty of ophthalmology, encompassing the full range of subspecialties within this field."
62,['https://www.geonames.org/2634895/wales.html'],0-115,['IN PROGRESS'],1 - 10 YEARS,"The dataset is limited to specialist palliative care services, both publicly and charitably funded."
63,['https://www.geonames.org/6269131/england.html'],15-110,['NOT AVAILABLE'],UNKNOWN,All pathways about emergency services and NHS 111 responses.
64,"['United Kingdom,England,West Midlands']",18-150,['NOT AVAILABLE'],OTHER,Primary care
65,https://www.geonames.org/2641364/northern-ireland.html,0-150,['IN PROGRESS'],0 - 6 MONTHS,Linked datasets cover secondary care.
66,['https://www.geonames.org/countries/GB/united-kingdom.html'],31-99,['NOT AVAILABLE'],OTHER,Intensive care pathway.
67,"['United Kingdom,Scotland']",0-150,['NOT AVAILABLE'],> 10 YEARS,All pathways with prescription from primary care
68,['https://www.geonames.org/2635167/united-kingdom.html'],18-85,['NOT AVAILABLE'],1 - 10 YEARS,"Data focuses on in-patient stay in hospital during the sepsis episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
69,England,Not Known,['NOT AVAILABLE'],UNKNOWN,Demographic records for Scotland based on postal code
70,['https://www.geonames.org/2634343/west-midlands.html'],17-101,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
71,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],OTHER,End of life care
72,England,Not Known,['NOT AVAILABLE'],UNKNOWN,"Include patients:
- who are 35 years and over on the date of admission,
- who have been admitted to hospital adult services,
- who have a primary diagnosis of COPD exacerbation,
- where an initial, or unclear, diagnosis is revised to an acute exacerbation of chronic obstructive pulmonary disease (AECOPD). Also following ICD-10 codes in the primary position of the first episode of care:                   • J44.0 - Chronic obstructive pulmonary disease with acute lower respiratory infection.                                      • J44.1 - Chronic obstructive pulmonary disease with acute exacerbation, unspecified
• J44.8 - Other specified chronic obstructive pulmonary disease
• J44.9 - Chronic obstructive pulmonary disease, unspecified."
73,United Kingdom,0-150,['DNA'],OTHER,Cancer diagnosis and treatment pathway
74,United Kingdom,0-150,"['FAECES', 'PLASMA', 'SALIVA', 'SERUM', 'URINE', 'WHOLE BLOOD']",1 - 10 YEARS,All of secondary care in relation to inpatient and day cases.
75,"['https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/6269131/england.html']",0-150,"['PLASMA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",CONTINUOUS,All higher education data pertaining to students
76,UK,0-115,"['BONE MARROW', 'DNA', 'PERIPHERAL BLOOD CELLS', 'PLASMA', 'RNA', 'SERUM']",OTHER,Secondary care.
77,['https://www.geonames.org/2635167/united-kingdom.html'],15-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
78,Wales,16-90,['NOT AVAILABLE'],> 10 YEARS,All pathways about cancer
79,"West Midlands Region, UK",50-68,"['NOT AVAILABLE', 'CANCER CELL LINES']",1 - 10 YEARS,Family justice cases
80,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],UNKNOWN,Relates to virus sequencing for COVID-19 only
81,"England, UK",0-150,['NOT AVAILABLE'],1 - 10 YEARS,All pathways at this point of care
82,UK,40-150,['IN PROGRESS'],OTHER,NOT APPLICABLE
83,England,0-4,['NOT AVAILABLE'],UNKNOWN,COVID-19
84,England,29-99,['NOT AVAILABLE'],OTHER,All of secondary care in relation to general acute inpatient and day cases.
85,['https://geonames.org/countries/GB/united-kingdom.html'],18-120,['DNA'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
