,description,associatedMedia,isPartOf
0,"9000 people aged >40 characterised with knee pain, other sites of pain, depression and anxiety, quality of life and medications etc. A subset of 400 have clinical examinations with x-rays, ultrasounds, quantitative sensory testing (QST), DNA and other biomarkers. Followed up at baseline, year 1, 3 and 6.  The 6-year follow-up is ongoing with COVID-19 infection and lockdown measures. 

Baseline data can be used to examine risk factors for early onset KP and to identify KP phenotypes. Subsequent prospective data, at least to Year 3, will allow examination of the natural history of KP and risk factors for incidence and progression.",['https://pubmed.ncbi.nlm.nih.gov/28934932/'],NOT APPLICABLE
1,"The dataset provides information about SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples.",['https://saildatabank.com/about-us/overview/'],Scottish Morbidity Record (SMR)
2,"The dataset contains a wide variety of information such as patient characteristics, mental health diagnosis, length of stay, destination on discharge, whether they are admitted under Mental Health Legislation and any previous psychiatric care. Patient identifiers such as name, date of birth, Community Health Index number, NHS number, and postcode are included together with a wide variety of geographical measures. This includes the Scottish Index of Multiple Deprivation and Carstairs measures, census output area, NHS Board, Electoral Ward and Parliamentary constituency.",['https://www.ndc.scot.nhs.uk/Data-Dictionary/SMR-Datasets/SMR04-Mental-Health-Inpatient-and-Day-Case/'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
3,"Patient and parent captured experience data on paediatric diabetes unit activity captured February to July 2019 throughout England and Wales. The dataset includes questions about both the health checks received and diabetes outcomes achieved. No personal identifiable information is collected, but the identity of the unit where the patient was treated is included in the dataset.","['https://biobank.ndph.ox.ac.uk/showcase/index.cgi', 'https://www.ukbiobank.ac.uk/']",UKCRC Tissue Directory and Coordination Centre
4,"An Observational Study of Peripheral T cell Lymphoma: Establishment of a Biobank and Database.
The outcome of this study will be a biobank of PTCL cases with linked clinical data and serum, saliva and plasma samples to enable assessments of treatment response and prediction of relapse.",['https://www.hqip.org.uk/a-z-of-nca/national-asthma-and-copd-audit-programme-nacap/'],UKCRC Tissue Directory and Coordination Centre
5,"The Human Developmental Biology Resource (HDBR) is an ongoing collection of human embryonic and fatal material ranging from 3 to 20 weeks of development. Material is available to researchers internationally following registration with the tissue bank.  Jointly funded by the MRC and Wellcome Trust, the biobank has been operating since 1999 and is based at two centres: Institute of Genetic Medicine '“ Newcastle University and the Institute of Child Health '“ University College London.
Tissues can be dissected to meet specific research needs and samples supplied fixed or frozen for histology or nucleic acid extraction, or the tissue can be collected into culture media to be used to establish cell lines. Material pre-sectioned to microscope slides is available for immunohistochemistry (IHC) or tissue in situ hybridisation studies (TISH) and stage, tissue specific RNA/DNA/cDNA can be requested.
Our In House Gene Expression Service will perform IHC or TISH experiments on behalf of registered users and provide them with high quality annotated images of results ready for publication.",['https://covid-consortium.com/'],NOT APPLICABLE
6,"Cross-sectional study of people recruited online from the general population. Participants reported their pain status (no pain, current, recurrent pain) and completed three different versions of a remotely delivered computerized version of the switching task (random, cued, uncued). Outcomes were speed of response and/or accuracy scores on these tasks. Study 2.","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",UKCRC Tissue Directory and Coordination Centre
7,"UK Biobank is a large-scale biomedical database and research resource, containing in-depth genetic and health information from half a million UK participants. The database, which is regularly augmented with additional data, is globally accessible to approved researchers and scientists undertaking vital research into the most common and life-threatening diseases. UK Biobank’s research resource is a major contributor to the advancement of modern medicine and treatment and has enabled several scientific discoveries that improve human health.

Since 2006, UK Biobank has collected an unprecedented amount of biological and medical data on half a million people, aged between 40 and 69 years old and living in the UK, as part of a large-scale prospective study. With their consent they regularly provide blood, urine and saliva samples, as well as detailed information about their lifestyle which is then linked to their health-related records to provide a deeper understanding of how individuals experience diseases. Genotyping, whole exome sequencing and whole genome sequencing is available for the whole cohort. Blood and urine biomarkers, telomere data, metabolomic and proteomic data and infectious disease markers have been assayed from the samples provided.

Since 2014 we have been undertaking the largest imaging study to date. We aim to undertake brain, cardiac and neck to knee MRI, whole body DXA and carotid ultrasound of 100,000 participants. We additionally have retinal images for 100,000 participants from baseline assessment, and accelerometer data for 100,000 participants collected 2013-2014.

Questionnaires that aim to capture data that is not readily captured by health data linkages are regularly sent to our participants.

The data – the largest and richest dataset of its kind – is de-identified and made widely accessible by UK Biobank to registered researchers around the world who use it to make new scientific discoveries about common and life-threatening diseases – such as cancer, heart disease and stroke – in order to improve public health.","['https://bioresource.nihr.ac.uk/centres-programmes/ibd-bioresource/gut-reaction-data-sources', 'https://bioresource.nihr.ac.uk/centres-programmes/ibd-bioresource/gut-reaction/', 'https://bioresource.nihr.ac.uk/recruiters/sample-collection-recruiters/']",Renal
8,"The primary role of the CamUro-Onc is to consent, collect, log and store frozen tumour/normal tissues, blood and urine for use in approved research projects. The bank has been in operation since 2003 and now has an extensive collection of biosamples from urological diseases.
Type of samples collected;
-	Fresh frozen and paraffin wax embedded tumour/normal tissue (where possible) from kidney, bladder and prostate.
-	Matching blood and urine samples.
-	Blood and urine samples collected as part of several research projects.
These samples have been collected as part of various ethically approved research studies.
The CamUro-Oncology Biobank is part of the Cambridge site of the ProMPT NCRI Prostate Cancer Collaborative. ProMPT provides infrastructure to take forward translational research in prostate cancer including the establishment of biorepositories and tissue collections together with epidemiological and clinical information. 
DIAMOND Study-(Discovery and Analysis of novel biomarkers in Urological diseases)- Collection of initial and sequential samples from subjects with benign and cancerous urological diseases.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw']",BREATHE
9,"LCC is a primary care observational cohort of chronic kidney disease. GP practices are based in the 3 Leicestershire based clinical commissioning groups. Data is linked to local secondary care outcomes for cardiovascular, endstage renal disease (dialysis or kidney transplantation) and mortality. Number of GP practices = 38, Number of anonymised patient records approximately 17,000.","['https://saildatabank.com/about-us/overview/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw']",National Clinical Audit and Patient Outcomes Programme (NCAPOP)
