,observedNode,measuredValue,observationDate,measuredProperty,disambiguatingDescription
0,PERSONS,9000,27/09/2021,Count,"The population type is SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples."
1,FINDINGS,27500,02/07/2021,SARS-CoV-2 VOC VUI ,Episodes
2,EVENTS,629541,17/01/2021,count,Computer task performance
3,PERSONS,1078,01/10/2016,Count,"Each participant has a large number (<5000) of data points associated with them. Recruitment started in 2006, but data collection is ongoing, and health data predates recruitment date. Summary statistics of all data can be found on our data showcase."
4,PERSONS,500000,13/03/2006,Count,number of patients in the dataset
5,PERSONS,19360,24/06/2021,count,Participants who have consent information
6,PERSONS,144517,26/11/2020,COUNT,
7,Persons," 9,476 ",2020-12-08,Count,Number of participants with blood samples
8,PERSONS,20405,12/09/2021,COUNT,NOT APPLICABLE
9,Events,"43357 inpatients and A&E patients, including day cases.",2020-06-30,COUNT,"The population type is SARS-CoV-2 variants of concern and
variants under investigation in Wales. This includes phylogenetic and mutational information about samples."
10,FINDINGS,27500,02/07/2021,SARS-CoV-2 VOC VUI ,
11,FINDINGS,3000000,01/01/2021,Count,Approx 70-80% coverage of Welsh population through GP registrations.
12,Events,"50,887 patients including COPD and non-COPD control group",2020-12-08,COUNT,number of primary shoulder  replacements during 2019 in the dataset
13,EVENTS,3000000,01/09/2021,Count,"330,000 patients present in dataset"
14,FINDINGS,45784,01/09/2020,Count,2747000 records in the dataset
15,PERSONS,330000,03/09/2021,COUNT,NOT APPLICABLE
16,PERSONS,2747000,24/09/2021,COUNT,number of patient admissions in the audit dataset submitted in 2018/19
17,Events,1035 maternity spells in this dataset from 01.01.2015 to 31.12.2020,2020-02-17,Count,"total number of NJR records analysed for the 2019 annual report
"
18,PERSONS,74696,01/01/2020,Count,Observations Not Applicable at this time (Oct 2021) and default values used where fields are mandatory
19,FINDINGS,3016279,01/09/2020,Count,Number of participants at recruitment (LBC1921 Wave 1)
20,FINDINGS,1,30/11/2021,Count,"Pathology Test Results and all Radiology reports for Wales. Data coverage differs by geography:

2012 for Swansea (ABMU)

2017 for Newport (AB)

2012 for North Wales (BC)

2007 for Cwm Taf

2015/16 for Cardiff (CV)

2014 for West Wales (HD)"
21,PERSONS,550,01/01/1999,Count,Number of CPRD GOLD patients matched to single MHDS identifier
22,FINDINGS,24416,20/07/2021,COVID LIMIS TEST RESULTS,Approx 70-80% coverage of Welsh population through GP registrations.
23,PERSONS,841414,21/04/2020,Count,Participants from NHS Trusts that have provided additional EHR data as part of Gut Reaction.
24,PERSONS,6643,2003-01-01 00:00:00,Count,2800 patients in the dataset
25,EVENTS,3000000,01/09/2021,Count,"People with a diagnosis of cancer, and people with presentation of symptoms relating to cancer (chief complaint in SNOMED CT)"
26,EVENTS,3000000,01/09/2021,Count,"15,908 cancer related stroke admissions between 29/10/2004 and 31/07/2021"
27,EVENTS,3000000,01/09/2021,Count,Better Rx BRIT2 study population. 
28,PERSONS,6269,02/07/2021,COUNT,Number of procedures reported in the dataset in 2018/19
29,PERSONS,2800,09/09/2021,COUNT,number of casenote reviews in the dataset
30,Persons,"10,000",2021-01-04,count,Approx 70-80% coverage of Welsh population through GP registrations.
