,memberOf,name,identifier,contactPoint
0,ALLIANCE,UNIVERSITY OF NOTTINGHAM,607db9c6e1f9d3704d570d93,DataSharing@hqip.org.uk
1,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,sw227@leicester.ac.uk
2,ALLIANCE,PUBLIC HEALTH SCOTLAND,5f8992a97150a1b050be0712,hdbr@ncl.ac.uk
3,ALLIANCE,HQIP,613b2174b8b58d157f531e7a,anne.george@addenbrookes.nhs.uk
4,ALLIANCE,TISSUE DIRECTORY,607db9c6e1f9d3704d570d7f,rwlm2@le.ac.uk
5,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d23,RESPIRE@ed.ac.uk
6,HUBS,ALLEVIATE,607db9c4e1f9d3704d570d3f,bartshealth.covid-hcw@nhs.net
7,ALLIANCE,UK Biobank,607db9c3e1f9d3704d570d0a,researchers@registerfordiscover.org.uk
8,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
9,ALLIANCE,UNIVERSITY HOSPITALS OF LEICESTER,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
10,HUB,BREATHE,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
11,ALLIANCE,HQIP,607db9c2e1f9d3704d570ce6,ctc.inca@ucl.ac.uk
12,ALLIANCE,NIHR BIORESOURCE,607db9c4e1f9d3704d570d23,sarah.mcdonald@glasgow.ac.uk
13,OTHER,UNIVERSITY COLLEGE LONDON,607db9c4e1f9d3704d570d1f,PIONEER@UHB.NHS.UK
14,HUB,DISCOVER NOW,607db9c4e1f9d3704d570d1f,breathe.saildatabank@swansea.ac.uk
15,HUB,GUT REACTION,607db9c4e1f9d3704d570d23,Pioneer@UHB.NHS.UK
16,ALLIANCE,HQIP,607db9c4e1f9d3704d570d23,SAILDatabank@swansea.ac.uk
17,ALLIANCE,SAIL,607db9c2e1f9d3704d570ce6,PIONEER@UHB.NHS.UK
18,ALLIANCE,SAIL,61800787f4dde0c2a01e1ea2,ctc.icon9@ucl.ac.uk
19,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,SAILDatabank@swansea.ac.uk
20,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,srs.customer.support@ons.gov.uk
21,HUB,PIONEER,61800787f4dde0c2a01e1ea2,b.davidson@ucl.ac.uk
22,HUB,BREATHE,5f3f98068af2ef61552e1d75,RESPIRE@ed.ac.uk
23,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,a.gander@ucl.ac.uk
24,ALLIANCE,SAIL,5f3f98068af2ef61552e1d75,breathe.saildatabank@swansea.ac.uk
25,HUB,PIONEER,607db9c2e1f9d3704d570cde,cleft-collective@bristol.ac.uk
26,ALLIANCE,SAIL,607db9c3e1f9d3704d570d0a,richard.cain@bristol.ac.uk
27,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,rtb@leeds.ac.uk
28,HUB,BREATHE,607db9c5e1f9d3704d570d5f,datacan@uclpartners.com
29,ALLIANCE,HQIP,60c090abe9cb49b0f9d8a546,enquiries@nhsdigital.nhs.uk
30,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d23,ctc.cardamon@ucl.ac.uk
31,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,607db9c4e1f9d3704d570d23,ctc.ukall14@ucl.ac.uk
32,HUB,PIONEER,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
33,ALLIANCE,HQIP,5f3f98068af2ef61552e1d75,Wan-Fai.Ng@ncl.ac.uk
34,ALLIANCE,TISSUE DIRECTORY,607db9c2e1f9d3704d570cee,Paul.Bishop@manchester.ac.uk
35,ALLIANCE,HQIP,607db9c5e1f9d3704d570d5f,breathe.saildatabank@swansea.ac.uk
36,HUB,BREATHE,607db9c2e1f9d3704d570ce6,breathe.saildatabank@swansea.ac.uk
37,HUBS,DATAMIND,5f89662f7150a1b050be0710,registry@cysticfibrosis.org.uk
38,ALLIANCE,SAIL,60a630c77dd392a16e228a92,SAILDatabank@swansea.ac.uk
39,ALLIANCE,SAIL,607db9c4e1f9d3704d570d1f,Pioneer@UHB.NHS.UK
40,NCS,OFFICE FOR NATIONAL STATISTICS,607db9c3e1f9d3704d570d0a,gecip-help@genomicsengland.co.uk
41,ALLIANCE,CPRD,5f8437a3b7dec2a83e8cceba,isaric4c-samples@roslin.ed.ac.uk
42,HUBS,DATAMIND,607db9c4e1f9d3704d570d1f,jay.brown@mft.nhs.uk
43,ALLIANCE,TISSUE DIRECTORY,607db9c4e1f9d3704d570d23,CBSB_admin@medschl.cam.ac.uk
44,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,Pioneer@UHB.NHS.UK
45,ALLIANCE,SAIL,61800787f4dde0c2a01e1ea2,ctc.ion@ucl.ac.uk
46,HUB,BREATHE,60a630c77dd392a16e228a92,gecip-help@genomicsengland.co.uk
47,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,f.forconi@soton.ac.uk
48,HUB,BREATHE,607db9c4e1f9d3704d570d1f,registry@cysticfibrosis.org.uk
49,ALLIANCE,SAIL,607db9c2e1f9d3704d570cee,DataSharing@hqip.org.uk
50,ALLIANCE,BARTS HEALTH,607db9c2e1f9d3704d570cee,breathe.saildatabank@swansea.ac.uk
51,HUB,GUT REACTION,5fc12be363eaab9e68dae76e,SAILDatabank@swansea.ac.uk
52,ALLIANCE,TISSUE DIRECTORY,5f86cd34980f41c6f02261f4,surjeet.janjuha@nhs.net
53,ALLIANCE,TISSUE DIRECTORY,5f3f98068af2ef61552e1d75,DataSharing@hqip.org.uk
54,ALLIANCE,TISSUE DIRECTORY,607db9c6e1f9d3704d570d93,enquiries@insight.hdrhub.org
55,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,5f8437a3b7dec2a83e8cceba,SAILDatabank@swansea.ac.uk
56,HUB,DATA-CAN,607db9c4e1f9d3704d570d1f,accessQTL@ed.ac.uk
57,ALLIANCE,NHS DIGITAL,607db9c2e1f9d3704d570ce6,tissuebank@cclg.org.uk
